"Date","city","variable","type","value","seven_day_rolling_average","fourteen_day_rolling_average","diff_7","subtract_7","diff_14","subtract_14","seven_trend_direction","fourteen_trend_direction","thirty_days_ago","organism","category","cat2","numDaysDownward"
"2021-07-21","FL","N1","INFLUENT",3.82513661202186e-05,1.14976075514706e-05,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-21","FL","N2","INFLUENT",2.55009107468124e-05,1.12782501082738e-05,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-21","JS","N1","INFLUENT",2.20338983050848e-05,2.40372016441009e-05,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-21","JS","N2","INFLUENT",9.66101694915254e-05,3.56005688235944e-05,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-21","YC","N1","INFLUENT",5.55555555555556e-05,2.62756061219862e-05,2.51907744843391e-05,0.0900053272793703,2.1696632752943e-06,,,"-9% to 9%","None",,"SARS-CoV-2","low plateau","not hbg",0
"2021-07-21","YC","N2","INFLUENT",5.66893424036281e-05,3.20955966510946e-05,2.87805596890237e-05,0.26035491182455,6.63007392414187e-06,,,"10% to 99%","None",,"SARS-CoV-2",,,
"2021-07-22","AA","N1","INFLUENT",3.65612648221344e-05,1.39525364369606e-05,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-22","AA","N1","SOLID",0.000108548168249661,2.54411324760174e-05,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-22","AA","N2","INFLUENT",1.77865612648221e-05,1.53447953295275e-05,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-22","AA","N2","SOLID",8.88738127544098e-05,2.08957352572875e-05,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-22","FL","N1","INFLUENT",8.19672131147541e-06,1.26685677388243e-05,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-22","FL","N2","INFLUENT",1.77595628415301e-05,1.38153305142066e-05,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-22","JS","N1","INFLUENT",2.71816881258941e-05,2.64138977384102e-05,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-22","JS","N2","INFLUENT",3.57653791130186e-05,3.99567075921879e-05,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-22","YC","N1","INFLUENT",5.8165548098434e-05,3.45849701360482e-05,2.66787898247034e-05,0.842310207935532,1.58123606226896e-05,,,"10% to 99%","None",,"SARS-CoV-2","low plateau","not hbg",0
"2021-07-22","YC","N2","INFLUENT",8.7248322147651e-05,4.0259594893879e-05,3.17109953979829e-05,0.738144666210969,1.70971989917922e-05,,,"10% to 99%","None",,"SARS-CoV-2",,,
"2021-07-23","AA","N1","INFLUENT",2.51778872468528e-05,1.58072171934796e-05,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-23","AA","N2","INFLUENT",5.80186097427477e-05,2.03977276322496e-05,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-23","FL","N1","INFLUENT",0,9.83971342482144e-06,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-23","FL","N2","INFLUENT",0,1.09864762002038e-05,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-23","JS","N1","INFLUENT",0.000121827411167513,4.2094913404121e-05,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-23","JS","N2","INFLUENT",0.000126903553299492,5.5070711258088e-05,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-23","YC","N1","INFLUENT",7.93388429752066e-05,3.75496821916694e-05,3.14320516820552e-05,0.483331652573926,1.22352610192283e-05,,,"10% to 99%","None",,"SARS-CoV-2","low plateau","not hbg",0
"2021-07-23","YC","N2","INFLUENT",8.7603305785124e-05,5.07541508429804e-05,3.66992100004638e-05,1.24136846673931,2.81098816850331e-05,,,"100% to 999%","None",,"SARS-CoV-2",,,
"2021-07-24","AA","N1","INFLUENT",6.30081300813008e-05,2.48083786336654e-05,1.52259359596372e-05,3.39592595900263,1.91648853480565e-05,,,"100% to 999%","None",,"SARS-CoV-2","low plateau","not hbg",0
"2021-07-24","AA","N2","INFLUENT",6.30081300813008e-05,2.93988890724354e-05,1.73120190311202e-05,4.62642120440905,2.41737400826304e-05,,,"100% to 999%","None",,"SARS-CoV-2",,,
"2021-07-24","FL","N1","INFLUENT",0,9.83971342482144e-06,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-24","FL","N2","INFLUENT",3.62694300518135e-05,1.61678233504629e-05,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-24","YC","N1","INFLUENT",0.000106741573033708,4.99973578911627e-05,3.50533100384661e-05,1.48628504762068,2.98880957053932e-05,,,"100% to 999%","None",,"SARS-CoV-2","low plateau","not hbg",0
"2021-07-24","YC","N2","INFLUENT",0.000144662921348315,6.8619162015989e-05,4.3892558385626e-05,2.58026317458282,4.94532072607259e-05,,,"100% to 999%","None",,"SARS-CoV-2",,,
"2021-07-25","AA","N1","INFLUENT",3.40909090909091e-05,2.96785085037953e-05,1.76610008947021e-05,4.25888966315885,2.40350152181864e-05,,,"100% to 999%","None",,"SARS-CoV-2","low plateau","not hbg",0
"2021-07-25","AA","N2","INFLUENT",3.40909090909091e-05,3.31938946313168e-05,1.92039009134964e-05,5.36641454969611,2.79799874356408e-05,,,"100% to 999%","None",,"SARS-CoV-2",,,
"2021-07-25","JS","N1","INFLUENT",0.000174418604651163,6.0293327929959e-05,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-25","JS","N2","INFLUENT",0.000131782945736434,7.17752056277907e-05,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-25","YC","N1","INFLUENT",4.95867768595041e-05,5.60595587740375e-05,3.85952226712878e-05,1.65296766381326,3.49286722054994e-05,,,"100% to 999%","None",,"SARS-CoV-2","low plateau","not hbg",0
"2021-07-25","YC","N2","INFLUENT",0.000132231404958678,8.44444895760657e-05,5.33376587398173e-05,2.79853102828029,6.22136616724968e-05,,,"100% to 999%","None",,"SARS-CoV-2",,,
"2021-07-26","AA","N1","INFLUENT",5.11590727418066e-05,3.39366170144448e-05,2.05119578947966e-05,3.78837115396405,2.68493182392965e-05,,,"100% to 999%","None",,"SARS-CoV-2","low plateau","not hbg",0
"2021-07-26","AA","N2","INFLUENT",4.55635491606715e-05,3.97029730828413e-05,2.24584401392586e-05,6.61482159018249,3.44890658871653e-05,,,"100% to 999%","None",,"SARS-CoV-2",,,
"2021-07-26","FL","N1","INFLUENT",0.000175,3.48397134248214e-05,1.88342838694121e-05,11.3158386956744,3.20108591108186e-05,,,"1000%+","None",,"SARS-CoV-2","low plateau","not hbg",0
"2021-07-26","FL","N2","INFLUENT",0.000108333333333333,3.16440138266533e-05,1.77168953131211e-05,7.34983575552132,2.78542370270643e-05,,,"100% to 999%","None",,"SARS-CoV-2",,,
"2021-07-26","JS","N1","INFLUENT",0.000402255639097744,0.000115582929744503,,,,,,"None","None",,"SARS-CoV-2",,"not hbg",0
"2021-07-26","JS","N2","INFLUENT",0.000263157894736842,0.000102480140553939,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-26","YC","N1","INFLUENT",0.000115702479338843,6.9734345893046e-05,4.51985559130988e-05,2.37487953542382,4.90715799598944e-05,,,"100% to 999%","None",,"SARS-CoV-2","low plateau","not hbg",0
"2021-07-26","YC","N2","INFLUENT",5.78512396694215e-05,8.68504575684978e-05,5.71986853173301e-05,2.15281996788169,5.93035445023353e-05,,,"100% to 999%","None",,"SARS-CoV-2",,,
"2021-07-27","AA","N1","INFLUENT",0,2.99996091404291e-05,2.05119578947966e-05,1.72122411822642,1.89753024912651e-05,,,"100% to 999%","None",,"SARS-CoV-2","none","not hbg",0
"2021-07-27","AA","N2","INFLUENT",0,3.52035355125376e-05,2.24584401392586e-05,2.62424441432734,2.54901907465579e-05,,,"100% to 999%","None",,"SARS-CoV-2",,,
"2021-07-27","FL","N1","INFLUENT",2.34113712374582e-05,3.81841950301726e-05,2.05065246720877e-05,12.498112943166,3.53553407161698e-05,,,"1000%+","None",,"SARS-CoV-2","low plateau","not hbg",0
"2021-07-27","FL","N2","INFLUENT",0.000103678929765886,4.64552895074942e-05,2.51225331535416e-05,11.2580542243365,4.26655127079052e-05,,,"1000%+","None",,"SARS-CoV-2",,,
"2021-07-27","JS","N1","INFLUENT",0.000102633969118983,0.000122843000832559,7.34427340735491e-05,4.1094173998635,9.88005335180189e-05,,,"100% to 999%","None",,"SARS-CoV-2","low growth","not hbg",0
