"Date","city","variable","type","value","seven_day_rolling_average","fourteen_day_rolling_average","diff_7","subtract_7","diff_14","subtract_14","seven_trend_direction","fourteen_trend_direction","thirty_days_ago","organism","category","cat2","numDaysDownward"
2022-05-06,"YC",,"INFLUENT",0.0143558410206241,0.0191262954308688,0.0218444362928462,-0.221323751562734,-0.00543628172395465,-0.542175776317161,-0.0258691515053806,"-10% to -99%","-10% to -99%",0.0569497888114057,"Norovirus",,,
2022-05-07,"YC",,"INFLUENT",0.0130574997869252,0.0180337691347175,0.0210045664723882,-0.247820834854179,-0.0059415946753415,-0.563879562179178,-0.02715774065851,"-10% to -99%","-10% to -99%",0.0569497888114057,"Norovirus",,,
2022-05-08,"YC",,"INFLUENT",0.0125265148966612,0.0160390589559217,0.0204266419502365,-0.353634498286289,-0.00877516598862947,-0.555567962690367,-0.0255345854938718,"-10% to -99%","-10% to -99%",0.0569497888114057,"Norovirus",,,
2022-05-09,"YC",,"INFLUENT",0.0118398162243307,0.014785666907201,0.0186030781691219,-0.340528807246767,-0.00763482252384174,-0.563433970894872,-0.0240092116768252,"-10% to -99%","-10% to -99%",0.0569497888114057,"Norovirus",,,
2022-05-10,"YC",,"INFLUENT",0.00631112369011129,0.0124931815900767,0.0172366299790522,-0.431613419165541,-0.00948689677795096,-0.560303316487056,-0.0219645526210543,"-10% to -99%","-10% to -99%",0.0569497888114057,"Norovirus",,,
2022-05-11,"YC",,"INFLUENT",0.00927714360520655,0.0116525810195191,0.0160068506643833,-0.427704328517387,-0.00870853928972843,-0.549754610195886,-0.0195445420358225,"-10% to -99%","-10% to -99%",0.0569497888114057,"Norovirus",,,
2022-05-12,"YC",,"INFLUENT",0.00977885214262328,0.0110209701952118,0.0151386050622837,-0.427667590576155,-0.00823526973414389,-0.531360248818241,-0.0171646833892593,"-10% to -99%","-10% to -99%",0.0569497888114057,"Norovirus",,,
2022-05-13,"YC",,"INFLUENT",0.0103987485750933,0.0104556712744217,0.0147909833526452,-0.453335262324415,-0.00867062415644718,-0.532995571630707,-0.0168810575406137,"-10% to -99%","-10% to -99%",0.0569497888114057,"Norovirus",,,
2022-05-14,"YC",,"INFLUENT",0.00803841652980792,0.00973865938054776,0.0138862142576326,-0.4599764859028,-0.00829510975416974,-0.561604648076342,-0.0177888803725923,"-10% to -99%","-10% to -99%",0.0569497888114057,"Norovirus",,,
2022-05-15,"YC",,"INFLUENT",0.0121493751722126,0.0096847822770551,0.0128619206164884,-0.396175155682721,-0.00635427667886664,-0.591714551181354,-0.018640354700214,"-10% to -99%","-10% to -99%",0.0569497888114057,"Norovirus",,,
2022-05-16,"YC",,"INFLUENT",0.0116147542155337,0.00965263056151267,0.0122191487343568,-0.347162990881962,-0.00513303634568835,-0.596752083796014,-0.0180826786114184,"-10% to -99%","-10% to -99%",0.0537321291993629,"Norovirus",,,
2022-05-17,"YC",,"INFLUENT",0.0119212836382792,0.0104540819826795,0.0114736317863781,-0.163216999024238,-0.00203909960739718,-0.599330876590295,-0.0171625448392056,"-10% to -99%","-10% to -99%",0.0470414144313865,"Norovirus",,,
2022-05-18,"YC",,"INFLUENT",0.011892342332452,0.0108276818008574,0.0112401314101883,-0.0707911163440847,-0.000824899218661648,-0.582666512058523,-0.0156930808408364,"-9% to 9%","-10% to -99%",0.0431100903170733,"Norovirus",,,
2022-05-19,"YC",,"INFLUENT",0.00957512620128072,0.0107985780949514,0.0109097741450816,-0.0201789948000246,-0.000222392100260404,-0.555551968586359,-0.0136370195720178,"-9% to 9%","-10% to -99%",0.0393748254503909,"Norovirus",,,
2022-05-20,"YC",,"INFLUENT",0.00962146141125688,0.0106875370715461,0.0105716041729839,0.0221760794729386,0.000231865797124496,-0.516050493074706,-0.0112728321198623,"-9% to 9%","-10% to -99%",0.0393748254503909,"Norovirus",,,
2022-05-21,"YC",,"INFLUENT",0.0140180612178919,0.0115417720269867,0.0106402157037672,0.185149985843076,0.00180311264643896,-0.493433215212776,-0.010364350768621,"10% to 99%","-10% to -99%",0.0393748254503909,"Norovirus",,,
2022-05-22,"YC",,"INFLUENT",0.0111557136070661,0.0113998203748229,0.010542301325939,0.177085870255551,0.00171503809776784,-0.483894545583056,-0.00988434062429745,"10% to 99%","-10% to -99%",0.0393748254503909,"Norovirus",,,
2022-05-23,"YC",,"INFLUENT",0.0113461346949863,0.0113614461576019,0.0105070383595573,0.177031078232982,0.00170881559608922,-0.435198935141967,-0.00809603980956461,"10% to 99%","-10% to -99%",0.0381903256888536,"Norovirus",,,
2022-05-24,"YC",,"INFLUENT",0.00576329681160429,0.0104817337537912,0.0104679078682353,0.00264506928083019,2.76517711116659e-05,-0.392694054408716,-0.00676872211081682,"-9% to 9%","-10% to -99%",0.0381831652605077,"Norovirus",,,
2022-05-25,"YC",,"INFLUENT",0.00839858318838073,0.00998262530463814,0.0104051535527478,-0.0780459300302284,-0.000845056496219297,-0.349956229934712,-0.00560169711163551,"-9% to 9%","-10% to -99%",0.0352922748831397,"Norovirus",,,
2022-05-26,"YC",,"INFLUENT",0.00990088332857089,0.0100291620371082,0.0104138700660298,-0.0712516084134185,-0.000769416057843192,-0.312098438186035,-0.00472473499625394,"-9% to 9%","-10% to -99%",0.0335053041928018,"Norovirus",,,
2022-05-27,"YC",,"INFLUENT",0.00713941296685297,0.0096745836879076,0.0101810603797269,-0.0947789352081286,-0.00101295338363855,-0.311671162289147,-0.00460992297291837,"-10% to -99%","-10% to -99%",0.0298373475048431,"Norovirus",,,
2022-05-28,"YC",,"INFLUENT",0.00754455370923568,0.00874979690095672,0.0101457844639717,-0.241901773791915,-0.00279197512602999,-0.269362817270731,-0.00374042979366091,"-10% to -99%","-10% to -99%",0.0248142249445512,"Norovirus",,,
2022-05-30,"YC",,"INFLUENT",0.00692305298377403,0.00814513109762927,0.0097724757362261,-0.285503557966738,-0.00325468927719366,-0.24020089785827,-0.00308944488026231,"-10% to -99%","-10% to -99%",0.0248142249445512,"Norovirus",,,
2022-05-31,"YC",,"INFLUENT",0.0027138540801974,0.00691194815265943,0.00913669715513065,-0.391631306721048,-0.00444949800494246,-0.252264019878831,-0.00308245157922618,"-10% to -99%","-10% to -99%",0.0248142249445512,"Norovirus",,,
2022-06-01,"YC",,"INFLUENT",0.00618446718986943,0.00697211534955445,0.00872692455167281,-0.334831859564008,-0.00350961840423673,-0.239393008756502,-0.00274670723470529,"-10% to -99%","-10% to -99%",0.0224204894310428,"Norovirus",,,
2022-06-02,"YC",,"INFLUENT",0.00724337383347506,0.00680708544171078,0.00839485537317446,-0.318106686970604,-0.00317553986292736,-0.253135477974465,-0.0028452760370138,"-10% to -99%","-10% to -99%",0.0219800783680277,"Norovirus",,,
2022-06-04,"YC",,"INFLUENT",0.00601346650990626,0.00625174018190155,0.00814045110950485,-0.376643815428453,-0.00377742185520662,-0.253838713684572,-0.0027693230355767,"-10% to -99%","-10% to -99%",0.0203611203092475,"Norovirus",,,
2022-06-05,"YC",,"INFLUENT",0.00440162960558807,0.00586062827314942,0.00776760598052851,-0.394224241351625,-0.00381395541475818,-0.265238666390963,-0.00280399819245539,"-10% to -99%","-10% to -99%",0.0192562399293556,"Norovirus",,,
2022-06-06,"YC",,"INFLUENT",0.00478014813732408,0.00546571319144776,0.00710775504620224,-0.375332564479282,-0.00328408370950896,-0.331991451669002,-0.003532460657565,"-10% to -99%","-10% to -99%",0.0191262954308688,"Norovirus",,,
2022-06-07,"YC",,"INFLUENT",0.00730682924680069,0.00552053837188014,0.00683283473475471,-0.32222842018013,-0.00262459272574913,-0.351864974875768,-0.00370946659118431,"-10% to -99%","-10% to -99%",0.0180337691347175,"Norovirus",,,
2022-06-08,"YC",,"INFLUENT",0.00532761539195117,0.00589393284498782,0.00640294049882362,-0.147283412026161,-0.0010180153076716,-0.390604632845994,-0.00410409786073365,"-10% to -99%","-10% to -99%",0.0160390589559217,"Norovirus",,,
2022-06-09,"YC",,"INFLUENT",0.0049223345827336,0.00571362818682556,0.00634287176819,-0.180502917641675,-0.00125848716272889,-0.394064998657724,-0.00412503610004534,"-10% to -99%","-10% to -99%",0.014785666907201,"Norovirus",,,
2022-06-10,"YC",,"INFLUENT",0.00415808044041142,0.00527287198781647,0.00603997871476362,-0.225384779878527,-0.00153421345389431,-0.419520463187341,-0.00436517483798416,"-10% to -99%","-10% to -99%",0.0124931815900767,"Norovirus",,,
2022-06-11,"YC",,"INFLUENT",0.0043990471089718,0.00504224064482583,0.00564699041336369,-0.193466059350507,-0.00120949953707571,-0.457743338685944,-0.00476687965266607,"-10% to -99%","-10% to -99%",0.0116525810195191,"Norovirus",,,
2022-06-12,"YC",,"INFLUENT",0.0101447287180882,0.00586268337518299,0.0058616558241662,0.000350662409862185,2.05510203356903e-06,-0.424258809442062,-0.00431940455556067,"-9% to 9%","-10% to -99%",0.0115417720269867,"Norovirus",,,
2022-06-13,"YC",,"INFLUENT",0.00635306927651484,0.00608738639506738,0.00577654979325757,0.113740546172886,0.000621673203619619,-0.43064532725188,-0.00436923467071414,"10% to 99%","-10% to -99%",0.0115417720269867,"Norovirus",,,
2022-06-14,"YC",,"INFLUENT",0.00937697325348331,0.0063831212531649,0.00595182981252252,0.156249775507128,0.000862582881284758,-0.390959878215981,-0.00382064592370358,"10% to 99%","-10% to -99%",0.0115417720269867,"Norovirus",,,
2022-06-15,"YC",,"INFLUENT",0.00570529450817314,0.00643707541262518,0.0061655041288065,0.0921528259520709,0.000543142567637357,-0.325193335827674,-0.00297119302632415,"-9% to 9%","-10% to -99%",0.0115417720269867,"Norovirus",,,
2022-06-16,"YC",,"INFLUENT",0.00600383533194707,0.00659157551965568,0.00615260185324062,0.15365846431073,0.000877947332830115,-0.294986244373883,-0.00257432269843219,"10% to 99%","-10% to -99%",0.0115417720269867,"Norovirus",,,
2022-06-17,"YC",,"INFLUENT",0.00541059637783463,0.00677050636785899,0.00602168917783773,0.284026311183538,0.00149763438004252,-0.282692922015086,-0.00237316619533673,"10% to 99%","-10% to -99%",0.0115417720269867,"Norovirus",,,
2022-06-18,"YC",,"INFLUENT",0.00530831912115009,0.00690040236959875,0.00597132150721229,0.368519048506678,0.00185816172477291,-0.266463071040359,-0.00216912960229256,"10% to 99%","-10% to -99%",0.0115417720269867,"Norovirus",,,
2022-06-19,"YC",,"INFLUENT",0.00399881953146145,0.00602241534293779,0.00594254935906039,0.0272455388655225,0.000159731967754801,-0.234957414941372,-0.00182505662146812,"-9% to 9%","-10% to -99%",0.0115417720269867,"Norovirus",,,
